run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,0
0,cd1bb66d,21
0,e49245cf,4
0,94acc2b9,190
0,b7329703,83
0,4ace2e25,71
0,b72911e3,42
0,5d2989b9,1
0,d8961263,19
0,9c5d9d2f,15
0,58f6671d,8
0,91467a8d,20
0,43748f56,8
0,33cadb91,14
0,c3146482,0
0,5d3e2646,3
0,3e323c88,7
1,7bbef8ec,0
1,47387463,2
1,cd1bb66d,33
1,e49245cf,12
1,94acc2b9,196
1,b7329703,117
1,4ace2e25,93
1,b72911e3,83
1,5d2989b9,0
1,d8961263,20
1,9c5d9d2f,22
1,58f6671d,12
1,91467a8d,23
1,43748f56,5
1,33cadb91,14
1,c3146482,0
1,5d3e2646,3
1,3e323c88,8
