run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,0
0,cd1bb66d,19
0,e49245cf,3
0,9bcc04b3,42
0,b7329703,15
0,4ace2e25,11
0,b72911e3,10
0,5d2989b9,1
0,d8961263,6
0,22b94f6f,11
0,58f6671d,4
0,91467a8d,7
0,43748f56,4
0,33cadb91,9
0,c3146482,0
0,5d3e2646,3
0,3e323c88,3
1,7bbef8ec,0
1,47387463,0
1,cd1bb66d,31
1,e49245cf,5
1,9bcc04b3,108
1,b7329703,70
1,4ace2e25,102
1,b72911e3,44
1,5d2989b9,1
1,d8961263,11
1,22b94f6f,12
1,58f6671d,8
1,91467a8d,15
1,43748f56,8
1,33cadb91,9
1,c3146482,0
1,5d3e2646,3
1,3e323c88,8
2,7bbef8ec,0
2,47387463,0
2,cd1bb66d,28
2,e49245cf,7
2,9bcc04b3,61
2,b7329703,29
2,4ace2e25,30
2,b72911e3,30
2,5d2989b9,1
2,d8961263,16
2,22b94f6f,14
2,58f6671d,8
2,91467a8d,16
2,43748f56,4
2,33cadb91,8
2,c3146482,2
2,5d3e2646,5
2,3e323c88,3
3,7bbef8ec,0
3,47387463,0
3,cd1bb66d,30
3,e49245cf,4
3,9bcc04b3,55
3,b7329703,3
3,4ace2e25,7
3,b72911e3,1
3,5d2989b9,0
3,d8961263,17
3,22b94f6f,21
3,58f6671d,104
3,91467a8d,12
3,43748f56,2
3,33cadb91,2
3,c3146482,0
3,5d3e2646,2
3,3e323c88,0
4,7bbef8ec,0
4,47387463,0
4,cd1bb66d,33
4,e49245cf,7
4,9bcc04b3,44
4,b7329703,2
4,4ace2e25,4
4,b72911e3,1
4,5d2989b9,0
4,d8961263,17
4,22b94f6f,21
4,58f6671d,55
4,91467a8d,9
4,43748f56,3
4,33cadb91,3
4,c3146482,2
4,5d3e2646,1
4,3e323c88,0
5,7bbef8ec,0
5,47387463,0
5,cd1bb66d,32
5,e49245cf,5
5,9bcc04b3,43
5,b7329703,3
5,4ace2e25,2
5,b72911e3,1
5,5d2989b9,0
5,d8961263,16
5,22b94f6f,18
5,58f6671d,49
5,91467a8d,12
5,43748f56,0
5,33cadb91,3
5,c3146482,0
5,5d3e2646,0
5,3e323c88,0
