run,avg_postgres_cpu,peak_postgres_cpu,avg_system_cpu,peak_system_cpu,storage_size_bytes,bytes_received,postgres_found
0,13.79,118.30,15.43,22.40,716931072,3016096126,True
1,14.60,211.90,16.02,100.00,786636800,3993505711,True
2,12.42,213.60,15.65,21.60,860429696,4161675709,True
3,12.50,354.20,15.85,78.10,1000726528,4499973797,True
4,12.26,285.60,15.87,90.00,1323862166,5424817755,True
