run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,0
0,cd1bb66d,36
0,e49245cf,9
0,9bcc04b3,228
0,b7329703,121
0,4ace2e25,93
0,b72911e3,47
0,5d2989b9,2
0,d8961263,22
0,22b94f6f,12
0,58f6671d,5
0,91467a8d,10
0,43748f56,5
0,33cadb91,11
0,c3146482,0
0,5d3e2646,5
0,3e323c88,8
1,7bbef8ec,0
1,47387463,0
1,cd1bb66d,27
1,e49245cf,5
1,9bcc04b3,190
1,b7329703,84
1,4ace2e25,97
1,b72911e3,84
1,5d2989b9,1
1,d8961263,20
1,22b94f6f,12
1,58f6671d,3
1,91467a8d,11
1,43748f56,8
1,33cadb91,12
1,c3146482,0
1,5d3e2646,1
1,3e323c88,3
2,7bbef8ec,0
2,47387463,0
2,cd1bb66d,29
2,e49245cf,6
2,9bcc04b3,180
2,b7329703,111
2,4ace2e25,64
2,b72911e3,99
2,5d2989b9,3
2,d8961263,31
2,22b94f6f,21
2,58f6671d,5
2,91467a8d,24
2,43748f56,6
2,33cadb91,9
2,c3146482,0
2,5d3e2646,2
2,3e323c88,8
3,7bbef8ec,0
3,47387463,0
3,cd1bb66d,15
3,e49245cf,3
3,9bcc04b3,78
3,b7329703,4
3,4ace2e25,7
3,b72911e3,3
3,5d2989b9,0
3,d8961263,27
3,22b94f6f,34
3,58f6671d,165
3,91467a8d,23
3,43748f56,2
3,33cadb91,3
3,c3146482,2
3,5d3e2646,2
3,3e323c88,0
4,7bbef8ec,0
4,47387463,0
4,cd1bb66d,26
4,e49245cf,5
4,9bcc04b3,77
4,b7329703,4
4,4ace2e25,6
4,b72911e3,1
4,5d2989b9,0
4,d8961263,28
4,22b94f6f,35
4,58f6671d,162
4,91467a8d,21
4,43748f56,0
4,33cadb91,1
4,c3146482,0
4,5d3e2646,0
4,3e323c88,0
5,7bbef8ec,0
5,47387463,0
5,cd1bb66d,26
5,e49245cf,5
5,9bcc04b3,79
5,b7329703,3
5,4ace2e25,6
5,b72911e3,1
5,5d2989b9,1
5,d8961263,38
5,22b94f6f,42
5,58f6671d,254
5,91467a8d,17
5,43748f56,0
5,33cadb91,1
5,c3146482,0
5,5d3e2646,0
5,3e323c88,0
