run,query_hash,time_ms
0,7bbef8ec,0
0,47387463,0
0,e6b6adef,18
0,10b2d298,2
0,6f5c9f09,256
0,fff78e66,515
0,ebdfe944,9
0,80fc9bf4,0
0,13a88290,1120
0,f4da9cd4,4
0,53c9b7f0,0
1,7bbef8ec,0
1,47387463,0
1,e6b6adef,15
1,10b2d298,2
1,6f5c9f09,232
1,fff78e66,966
1,ebdfe944,9
1,80fc9bf4,0
1,13a88290,1341
1,f4da9cd4,4
1,53c9b7f0,0
2,7bbef8ec,0
2,47387463,0
2,e6b6adef,15
2,10b2d298,2
2,6f5c9f09,350
2,fff78e66,1462
2,ebdfe944,8
2,80fc9bf4,0
2,13a88290,1738
2,f4da9cd4,4
2,53c9b7f0,0
3,7bbef8ec,0
3,47387463,0
3,e6b6adef,15
3,10b2d298,2
3,6f5c9f09,349
3,fff78e66,1694
3,ebdfe944,8
3,80fc9bf4,0
3,13a88290,2028
3,f4da9cd4,5
3,53c9b7f0,0
4,7bbef8ec,0
4,47387463,0
4,e6b6adef,16
4,10b2d298,1
4,6f5c9f09,404
4,fff78e66,1884
4,ebdfe944,9
4,80fc9bf4,0
4,13a88290,1917
4,f4da9cd4,4
4,53c9b7f0,0
