run,query_hash,time_ms
0,7bbef8ec,6
0,47387463,0
0,cd1bb66d,36
0,e49245cf,9
0,9bcc04b3,124
0,b7329703,75
0,4ace2e25,85
0,b72911e3,38
0,5d2989b9,2
0,d8961263,15
0,22b94f6f,11
0,58f6671d,6
0,91467a8d,18
0,43748f56,8
0,33cadb91,8
0,c3146482,0
0,5d3e2646,10
0,3e323c88,4
1,7bbef8ec,0
1,47387463,0
1,cd1bb66d,30
1,e49245cf,5
1,9bcc04b3,90
1,b7329703,69
1,4ace2e25,101
1,b72911e3,37
1,5d2989b9,1
1,d8961263,15
1,22b94f6f,17
1,58f6671d,8
1,91467a8d,14
1,43748f56,7
1,33cadb91,11
1,c3146482,2
1,5d3e2646,7
1,3e323c88,4
2,7bbef8ec,0
2,47387463,0
2,cd1bb66d,15
2,e49245cf,9
2,9bcc04b3,100
2,b7329703,65
2,4ace2e25,153
2,b72911e3,43
2,5d2989b9,1
2,d8961263,21
2,22b94f6f,17
2,58f6671d,8
2,91467a8d,19
2,43748f56,6
2,33cadb91,13
2,c3146482,0
2,5d3e2646,3
2,3e323c88,6
3,7bbef8ec,0
3,47387463,2
3,cd1bb66d,27
3,e49245cf,7
3,9bcc04b3,118
3,b7329703,90
3,4ace2e25,93
3,b72911e3,51
3,5d2989b9,6
3,d8961263,26
3,22b94f6f,27
3,58f6671d,10
3,91467a8d,25
3,43748f56,12
3,33cadb91,12
3,c3146482,4
3,5d3e2646,3
3,3e323c88,7
4,7bbef8ec,0
4,47387463,2
4,cd1bb66d,28
4,e49245cf,7
4,9bcc04b3,124
4,b7329703,75
4,4ace2e25,93
4,b72911e3,52
4,5d2989b9,6
4,d8961263,29
4,22b94f6f,24
4,58f6671d,14
4,91467a8d,24
4,43748f56,8
4,33cadb91,13
4,c3146482,4
4,5d3e2646,8
4,3e323c88,4
5,7bbef8ec,0
5,47387463,2
5,cd1bb66d,26
5,e49245cf,9
5,9bcc04b3,129
5,b7329703,76
5,4ace2e25,102
5,b72911e3,55
5,5d2989b9,4
5,d8961263,35
5,22b94f6f,30
5,58f6671d,12
5,91467a8d,24
5,43748f56,8
5,33cadb91,10
5,c3146482,0
5,5d3e2646,3
5,3e323c88,5
